candidate_season_key,season_id,season_name,candidate_name,age,gender_normalized,profession_normalized,physical_score,physical_score_justification,physical_score_sources,physical_positive_reason,physical_score_confidence,strict_review_decision,strict_review_reason,strict_review_source,strict_review_status
KL31::candice boisson,KL31,Koh-Lanta : L'Île au trésor,Candice Boisson,19.0,FEMALE,Championne de wakeboard,1.0,"Quintuple championne de France et vice-championne d’Europe de wakeboard, pratiquant au plus haut niveau. Cet élément satisfait le critère positif.","https://kohlanta.fandom.com/fr/wiki/Candice_Boisson | Quintuple championne de France et vice-championne d’Europe de wakeboard, pratiquant au plus haut niveau. || https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_L%27%C3%AEle_au_tr%C3%A9sor | Tableau de saison : 19 ans, profession Championne de wakeboard.",ELITE_COMPETITIVE_SPORT,HIGH,,,,TO_REVIEW
KL31::jean-luc duboscq,KL31,Koh-Lanta : L'Île au trésor,Jean-Luc Duboscq,50.0,MALE,Préparateur de motos,1.0,Préparateur de motos : métier manuel impliquant interventions mécaniques et efforts physiques réguliers. Cet élément satisfait le critère positif.,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_L%27%C3%AEle_au_tr%C3%A9sor | Préparateur de motos : métier manuel impliquant interventions mécaniques et efforts physiques réguliers.,DIRECT_PHYSICAL_PROFESSION,MEDIUM,,,,TO_REVIEW
KL31::ludivine wiart,KL31,Koh-Lanta : L'Île au trésor,Ludivine Wiart,31.0,FEMALE,En recherche d’emploi (esthéticienne de formation),1.0,Son portrait la décrit explicitement comme joueuse de football. Cet élément satisfait le critère positif.,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_L%27%C3%AEle_au_tr%C3%A9sor | Son portrait la décrit explicitement comme joueuse de football.,EXPLICIT_SPORT_ACTIVITY,HIGH,,,,TO_REVIEW
KL31::stéphane cipolla,KL31,Koh-Lanta : L'Île au trésor,Stéphane Cipolla,45.0,MALE,Facteur,1.0,"Facteur : métier de tournée impliquant marche, port et déplacements physiques réguliers. Cet élément satisfait le critère positif.","https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_L%27%C3%AEle_au_tr%C3%A9sor | Facteur : métier de tournée impliquant marche, port et déplacements physiques réguliers.",DIRECT_PHYSICAL_PROFESSION,MEDIUM,,,,TO_REVIEW
KL32::alix,KL32,Koh-Lanta : Les 4 Terres,Alix,28.0,FEMALE,Coach sportive,1.0,Coach sportive et pompier volontaire : deux activités directement physiques. Cet élément satisfait le critère positif.,"https://kohlanta.fandom.com/fr/wiki/Vuro | Coach sportive et pompier volontaire : deux activités directement physiques. || https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Les_4_Terres | Tableau de saison : 28 ans, profession Coach sportive.",MULTIPLE_QUALIFYING_INDICATORS,HIGH,,,,TO_REVIEW
KL32::bertrand-kamal († décédé avant la finale),KL32,Koh-Lanta : Les 4 Terres,Bertrand-Kamal († décédé avant la finale),30.0,MALE,Animateur,1.0,Il a travaillé comme animateur sportif et pratiquait également la danse. Cet élément satisfait le critère positif.,"https://kohlanta.fandom.com/fr/wiki/Bertrand-Kamal_Loudrhiri | Il a travaillé comme animateur sportif et pratiquait également la danse. || https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Les_4_Terres | Tableau de saison : 30 ans, profession Animateur.",DIRECT_PHYSICAL_PROFESSION,HIGH,,,,TO_REVIEW
KL32::fabrice,KL32,Koh-Lanta : Les 4 Terres,Fabrice,54.0,MALE,Garagiste,1.0,Garagiste : métier manuel impliquant interventions mécaniques et efforts physiques réguliers. Cet élément satisfait le critère positif.,"https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Les_4_Terres | Garagiste : métier manuel impliquant interventions mécaniques et efforts physiques réguliers. || https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Les_4_Terres | Tableau de saison : 54 ans, profession Garagiste.",DIRECT_PHYSICAL_PROFESSION,MEDIUM,,,,TO_REVIEW
KL32::hadja,KL32,Koh-Lanta : Les 4 Terres,Hadja,28.0,FEMALE,Handballeuse,1.0,Handballeuse : pratique sportive indiquée comme activité principale. Cet élément satisfait le critère positif.,"https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Les_4_Terres | Handballeuse : pratique sportive indiquée comme activité principale. || https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Les_4_Terres | Tableau de saison : 28 ans, profession Handballeuse.",DIRECT_PHYSICAL_PROFESSION,HIGH,,,,TO_REVIEW
KL32::joaquina,KL32,Koh-Lanta : Les 4 Terres,Joaquina,38.0,FEMALE,Boulangère,1.0,"Boulangère : métier artisanal impliquant préparation, manutention et station debout prolongée. Cet élément satisfait le critère positif.","https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Les_4_Terres | Boulangère : métier artisanal impliquant préparation, manutention et station debout prolongée. || https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Les_4_Terres | Tableau de saison : 38 ans, profession Boulangère.",DIRECT_PHYSICAL_PROFESSION,MEDIUM,,,,TO_REVIEW
KL32::jody,KL32,Koh-Lanta : Les 4 Terres,Jody,32.0,FEMALE,Ostréicultrice,1.0,Ostréicultrice : métier manuel de terrain directement physique. Cet élément satisfait le critère positif.,"https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Les_4_Terres | Ostréicultrice : métier manuel de terrain directement physique. || https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Les_4_Terres | Tableau de saison : 32 ans, profession Ostréicultrice.",DIRECT_PHYSICAL_PROFESSION,HIGH,,,,TO_REVIEW
KL32::marie-france,KL32,Koh-Lanta : Les 4 Terres,Marie-France,49.0,FEMALE,Bouchère,1.0,"Bouchère : métier manuel impliquant station debout, manutention et gestes physiques répétés. Cet élément satisfait le critère positif.","https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Les_4_Terres | Bouchère : métier manuel impliquant station debout, manutention et gestes physiques répétés. || https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Les_4_Terres | Tableau de saison : 49 ans, profession Bouchère.",DIRECT_PHYSICAL_PROFESSION,MEDIUM,,,,TO_REVIEW
KL32::mathieu,KL32,Koh-Lanta : Les 4 Terres,Mathieu,31.0,MALE,Coureur professionnel,1.0,Coureur professionnel : activité sportive exercée à niveau professionnel. Cet élément satisfait le critère positif.,"https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Les_4_Terres | Coureur professionnel : activité sportive exercée à niveau professionnel. || https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Les_4_Terres | Tableau de saison : 31 ans, profession Coureur professionnel.",ELITE_COMPETITIVE_SPORT,HIGH,,,,TO_REVIEW
KL33::jonathan,KL33,Koh-Lanta : Les Armes secrètes,Jonathan,31.0,MALE,Moniteur d'escalade,1.0,Sport exigeant documenté: Moniteur d'escalade,,STRENGTH_OR_COMBAT_SPORT,MEDIUM,,,,TO_REVIEW
KL33::lucie,KL33,Koh-Lanta : Les Armes secrètes,Lucie,35.0,FEMALE,Championne de MMA,1.0,Profession physique directe: Championne de MMA,,DIRECT_PHYSICAL_PROFESSION,MEDIUM,,,,TO_REVIEW
KL33::sylviane,KL33,Koh-Lanta : Les Armes secrètes,Sylviane,44.0,FEMALE,Maître-nageur,1.0,Profession physique directe: Maître-nageur,,DIRECT_PHYSICAL_PROFESSION,MEDIUM,,,,TO_REVIEW
